net,length_um
_06764_,24.84
net77,24.84
_01317_,24.8
acc\[9\]\[5\],24.8
_02011_,24.78
_05165_,24.78
_05437_,24.78
acc\[3\]\[10\],24.78
_01740_,24.76
acc\[3\]\[28\],24.74
_03283_,24.72
_02131_,24.68
_02852_,24.68
_06608_,24.66
_02538_,24.62
_03661_,24.58
_03888_,24.56
_02769_,24.53
acc\[3\]\[19\],24.53
acc\[2\]\[16\],24.52
_00226_,24.5
_02608_,24.48
_01850_,24.46
_05341_,24.46
_01881_,24.44
_04065_,24.44
_04700_,24.42
_02335_,24.38
_02709_,24.37
_07108_,24.36
_06451_,24.355
_03424_,24.34
_04079_,24.31
_02123_,24.3
acc\[3\]\[4\],24.3
acc\[8\]\[21\],24.3
_01544_,24.29
_04125_,24.26
_01667_,24.24
_06576_,24.24
acc\[13\]\[20\],24.24
_03519_,24.22
_05719_,24.2
_04401_,24.14
_03328_,24.13
_00958_,24.1
_02113_,24.1
_03932_,24.1
_05321_,24.08
_00891_,24.06
_03176_,24.06
acc\[7\]\[13\],24.06
_01509_,23.98
_04913_,23.98
_05364_,23.98
_07209_,23.98
_04284_,23.96
_04559_,23.94
_02734_,23.92
_05445_,23.91
acc\[2\]\[13\],23.88
_06436_,23.86
_00852_,23.84
_01507_,23.84
_01657_,23.84
_04602_,23.84
_05201_,23.84
acc\[2\]\[21\],23.84
_03412_,23.82
acc\[3\]\[15\],23.81
_01833_,23.8
acc\[11\]\[27\],23.76
_00360_,23.68
_02172_,23.66
_02474_,23.64
_00898_,23.62
_02642_,23.6
_01975_,23.56
_03052_,23.54
_05378_,23.48
_03762_,23.465
_03759_,23.46
_00847_,23.4
